,comment
10648,can u pair only using bluetooth
10649,it always show get connected but im already connected to my internet
10650,having a hard time connecting my apple watch to iphone it always show failed connection because of my wifi but i have a good internet connection
10651,thanks for the video it is very informative for a new watch owner
10652,you never mentioned the so ability to call 911 when faced with a crisis that is one of the biggest plus
10653,help i wa watching video and hit the side button to get to my favorite in my phone but instead a small red icon popped up at the center top of my watch i hv the new series 3 the icon look like a battery icon with a line through it how can i get it switched off
10654,great video you have convinced me that i need an apple watch in my life
10655,this is litterally the worst video on youtube
10656,excellent video
10657,awesome video
10658,best video ever for learning
10659,omg i just listen to radio and they have apple watch
10660,loved the video for the most part i kept having to rewind because it wa going fast and it is difficult looking at watch and screen at same time to complete each level the only thing i could not see to do is add my apps to my watch my screen look totally different and when i try to search it doe not pull up my purchased apps from my iphone thanks for your time and the video is well appreciated
10661,you are in new york 27 03 since you have a new york world clock at 6 19 and you have your clock at 6 19 aswell you didnt load the map and told u you didnt want u to find you i win
10662,scared someone will travel the world and steal you watch lol cover the location
10663,i do not have glance is it something i need to add
10664,nice to watch your production and wind up learning so much about the watch before this i wa only watching mickey tap his foot thanks hope i can practice and remember it all
10665,hello i am just wondering if glance have been taken away i can not seem to find them just have a new iphone doe anyone know
10666,this video did not help at all
10667,very good
10668,yay got mine for christmas loving it
10669,watch the video for 5 min me wow what a great video relized that the video is an hour long me shit
10670,great video thank you
10671,excellent video very informative
10672,i can not get a gmail app on my series 3 but there wa an alert on the video anyone else have the gmail app on theirs
10673,my watch lock too quickly
10674,i love ebates
10675,go to 40 19 and hit play trop trend
10676,when he show the world clock it say new york 6 19 and his time on the watch is 6 19 exposed
10677,thanks for the informative video can you please do a video for the apple watch series 3 i purchased a new apple watch series 3 due to arrive tomorrow
10678,i wan na
10679,appfind my home screen doe not look like that how do i change it
10680,could you uninstall some apps on your apple watch i really wan na know
10681,how old are you
10682,soooo helpful x
10683,your the nice youtuber idk
10684,thumb up for the people watching at 1 5 speed
10685,is the apple watch waterproof can someone tell me please
10686,chl0eq edits series one can be in some water like if you accidentally get in the shower with it it is fine series 2 you can go diving with
10687,bro you are a beast explaining this your english is amazing and you talk really clearly thanks for sharing your knowledge with u
10688,excellent
10689,if u do not have a phone can u still pay for it and call people
10690,no
10691,i have suspisions that you set up that phone call ahead of time
10692,i have the io 9 3 5 and it those not work
10693,what about camera app what about how to dismiss active program
10694,if you have apple device you should use the dock station check it out
10695,wow what a great video keep up the great work
10696,cool instruction video
10697,i have to say i have learned sooooooo much thank youuu
10698,my watch ha my son is name on it when it alert me of the exercise stuff and can not figure out how to change it i went into the about menu and changed that but it still alert me with my son name
10699,im getting one for chrisma
10700,best instruction i have watched
10701,thank you so much
10702,is it the 1 or 2
10703,anyone know why my favorite for my phone do not come up when i press the button like he say
10704,very informational and i learned a lot the emcee is great he explains the apple watch function in my language which everybody can understand thank you
10705,still currently one of the most helpful and detailed video i have a new model but this guide wa still helpful
10706,thank u so much for this video
10707,i lost my minnie mouse please help i have two mickey how can i get her back
10708,why can not i get the dollar10 gift card or dollar5 ebates i used the link that wa provided on the video and the link provided by the person who made this video anyone help
10709,i got a series 2 yesterday pretty nice
10710,hi how can i see facebook messenger and whatsapp notification on the apple watch series 3
10711,our exclusive partn r is offering 650 apple apple watch is this offer is limited hurry up simply click th url gt gt gt
10712,doe it track your step a well
10713,better than the apple tutorial by apple
10714,is the series 3 the same
10715,apple watch lt iwatch
10716,i appreciate how thorough this video is thank you
10717,are the apps that are running on my phone will they run active on my watch
10718,lorinda caratachea not all of them
10719,this really helped thanks
10720,would there ever be a update on the apple watch where siri can read your text message
10721,awesome i love it thank you my ux design
10722,17 18 72 degree
10723,is the watch in the video a series one
10724,ha
10725,this video is so helpful thank you
10726,you are absolutely amazing the best tutorial i have ever seen thankyou
10727,thanks very helpful
10728,is there a section where apple series 3 is discussed thank you great vid
10729,how to get apple watch for free free gift gt gt gt
10730,thank you
10731,good informational video thanks for the help
10732,hello just wondering if the model you were using in this video wa the series 1 model thinking about purchasing the series 1 for my daughter birthday x
10733,how to get apple watch for free free gift gt gt gt
10734,is this the original apple watch or is it the apple watch series 1 because i thought the series 1 had the scribble option in messenger to be able to draw write out your text message unless i am mistaken if so i am mad i just ordered the series 1 if it doe not have the scribble option in messenger i do not just want pre set message and voice to text
10735,is this the original apple watch or is it the apple watch series 1 because i thought the series one had the swipe feature in messaging to be able to draw out your message
10736,oh never mind that question anyways this video totally increased my understanding of the apple watch and i feel more confident about getting one
10737,what series of apple watch doe he have in this vid
10738,my watch kick buttttt
10739,very helpfull thanks
10740,this wa very informative until i got to chapter 16 and realized i can not download my napster app to my apple watch series 3 smh thank you anyway great video
10741,doe your apple watch need wifi all the time in order to stay connected to your iphone
10742,thesis stuff are dead expensive but it is worth it
10743,perfect
10744,great review but seriously you wont show map cause youre paranoid some axe murderer will see your location nobody care where you are
10745,20 35 real smooth lol
10746,very good thanks
10747,helpful video
10748,enjoyed this speaks very clearly organized and thorough thank you so much
10749,thanks i am considering purchasing a series 3 soon i know some thing may have changed since this video but at least i will have a much better base to work from than if i did not know anything
10750,love the video i have a question about glance mine doe not do that it just go to cotroll panel thanks again for the video
10751,friend feature
10752,i also don t have friend eature
10753,can you do this from a computer
10754,this is a apple watch series 1 right
10755,wow great thanks how bout the 3 now
10756,a for the dictation say i will call my friend veronica and it will send i will call my friend erotica
10757,thank you very much for the help that is lovely
10758,my boyfriend preordered the 3 lte series a a surprise he is so sweet it will not be here til november though
10759,give me apple watch
10760,my left ear enjoyed the video
10761,great info i learned a lot about my watch i have the 3 series but much of the feature are the same
10762,much thanks for this video i am more than confident on my ability to use my apple watch
10763,very informative thank you very much
10764,a
10765,aowrd heck
10766,apple should use this video on their website to help newbie apple watch people i sent them an email letting them know
10767,awesome
10768,great tutorial you should get an award
10769,when someone phone you doe it vibrate a well
10770,very good video dear
10771,my channel
10772,8 40 i have never in my life seen someone get it the right way first try witchcraft i need to flip it about 5 time before it fit
10773,mywatch app is missing on my phone how do i gget it back on
10774,awesome video i hope you do a video on series 3 model
10775,thank you so much i just purchased my first apple watch and i started it up using this video very helpful i give your video five star keep up the great work
10776,thank you
10777,can we get apple watch app in ipad version 11 0 2
10778,really good video but unfortunately after seeing this i realized i can not do very much i can quick reply to message and answer phone call the only thing that is keeping me on the fence is the fitness tracking and be able to use a timer i just do not know if those thing are worth the hassle of having to charge my watch
10779,which apple watch is it which series
10780,is there an app similar to find my phone on the apple watch 3
10781,can we play youtube in apple watch series 3
10782,yeay i watched it without skip the video
10783,thank you so much
10784,thank you so much this helped me allot
10785,apple watch series 3 review a good watch a so so phone replacement
10786,great video thank you for posting
10787,supap
10788,guy please answer me can we download youtube on apple watch
10789,hmmmmm how about downloading youtube
10790,one of the best instructional video i have ever seen on youtube superb job
10791,you apparently are not using a series 3 phone in this video however there is a lot of good information that applies to all series
10792,how do you get all the glance i do not see all of them on my new watch
10793,this is absolutely the best instructional video i have watched i am new to the apple watch world and just got the series 3 you literally helped me set up the entire watch thank you for not speaking in tech language great job
10794,yo is ur name tristan because thats my name lol
10795,thank you
10796,amazing video
10797,why did i watch this i do not have an apple watch
10798,can i download the app in android
10799,i wish i could afford the stainless steel look nice
10800,wow he did a fantastic job i have no question about how my apple watch work now just got one a a gift and came on here to see how to use it and what the feature are i am left with a greater appreciation for this gift thanks much
10801,thank you for the through tutorial awesome
10802,great vid
10803,can anyone tell me if it ha a limited battery life like a phone and if it say it doe or not i am sorry but i do not want to watch the whole video
10804,31 16
10805,just got mine the people at the store did not help much but this did thank you
10806,i feel like i am in school a little background music please
10807,thank you for all of the wonderful critical information for my apple watch usage
10808,very good guide thanks guy
10809,if you d like to gain more than 15k cash search for sizo unique only on google in order to start your own personal business online begin your quest to discovering wonderful thing today we have used some other model but nothing happened this really work it revealed lot of good result what exactly are you awaiting check it out today
10810,i have had a fitbit hr for 2 year which i have loved but a i am not allowed to have my phone on me at work i have always wished that i could receive amp send text message so i am looking into buying an apple watch or the new fitbit iconic any help xx
10811,is that the series 1 or 2
10812,love it thanks
10813,which apple watch did you use in the video
10814,if every each of one f you know handle with apple io device if only i prefer to use my phone the choice is all mine is to select apple io device you want apple iphone or apple iwatch it do not matter what apple io device you want the the choice is yours
10815,very informative video
10816,great video thanks very useful and informative
10817,excellent video thought me everything i need to know
10818,i erot thji s comnet on ny aplo watfg
10819,the 962 people that disliked this video are android user
10820,okay so lol
10821,i miss dislike
10822,nathan m
10823,nathan mi smart band 4
10824,i wa very confused on how to use the apple watch and this made everything much clearer so i understood it and it also taught me everything that i need to know
10825,thank you
10826,is this series 2 or 1
10827,i just got a used series 1 it is not consistent with this video for example i have no glance option among other feature not available on this watch any idea why
10828,thank you for taking the time to do this tutorial so helpful
10829,give me an apple watch please
10830,what is the blue half moon at the top of my apple watch face i know the red dot wa notification but i am unsure of the moon
10831,if you tap mickey he say the time
10832,this is my third time watching this
10833,hallo mein name ist k
10834,doe the apple watch measure my sleep pattern i try to follow this tutorial on my ipad with my iphone and apple watch in front of me but it is very difficult when i hit the button or screen i more often than not get a different screen than what you say i will get hope you can help me
10835,what if i do not have a iphone
10836,tdcmaster no apple watch then
10837,you have to get a samsung watch they are very nice a well
10838,you need one to pair with the watch
10839,yes the watch is basically mirroring the iphone
10840,do i have to have a iphone to use this watch
10841,this video helped me a lot very helpful
10842,thank you very much for this video
10843,best video ever
10844,24 25 moment of silence when he realized he had his location on camera lmfao
10845,i am considering getting one i would definitely get it if the touch screen crown and other button have touch id that scan all your finger so only you can use it and if any free web browser and youtube could run the apple watch
10846,damn only if i knew about ebates before
10847,i loooovvvee theeeemmmm
10848,i am going to get one there sick and thanks for sharing
10849,he life in new york lol nice
10850,nice vid
10851,the fact that people actually need a tutorial to use something they spent so much money on lead me to believe that the world ha in fact become much more dumb then it ha become advanced a a whole
10852,doe the apple watch allow you to access spotify also he did not show u the camera app and i wa wondering what it wa going to be able to do
10853,i need a charger
10854,rachel crabb other account yalnagar3 joined december 2010
10855,wjej wjje how can you reply to comment from 2013 your account say you joined in 2017 i caught you in a lie bud
10856,wjej wjje dang if someone replied to a comment of mine from 3 year ago i do not think i would answer lol
10857,rachel crabb yea bro i use the same youtube account since forever lol i reply to comment from 2013 when i wa like 10 it is pretty cool
10858,wjej wjje that suck i am surprised you replied it is been 3 year
10859,911 dislike
10860,can you get the app on ipad
10861,getting mine this friday
10862,nice i never knew these think
10863,very useful
10864,lol you made the video at the same date a the norwegian national day
10865,2 05 wtf or you could just simply install it in the app store
10866,vielen dank
10867,excellent i am now 70 and love apple you have told me everything i would like to know before asking my family to get me one lol just on e thing with series watch are you showing thanks for great video
10868,i do not have one but this is why i want one
10869,after video i feel more comfortable with my watch though not an apple
10870,great video very feature rich content thank you
10871,ma puuuuu
10872,what is the purple light near the front camera
10873,i got a question but doe series 1 have any game
10874,this wa amazing i had no idea the watch could do so many thing thank you
10875,thank you so much for this video you have made it so much easier to figure out the apple watch
10876,my phone doesnt ring anymore by the time i get the notification on my watch theyve hung up how can i fix it
10877,thank you good video
10878,what series is this for
10879,how to get a free apple watch 2017 step by step gt gt
10880,this guy voice make me cringe every night
10881,amazing this video is the bomb very thorough simple and worth every minute i feel like i have owned my watch forever and it is only been 2 day thank u
10882,i got the series two for my grad present and this video helped soooo much lol
10883,h
10884,we are gon na keep trop trend for now
10885,pebble watch is better
10886,fok u
10887,very helpful thank you
10888,aye fuck you this did not work
10889,i bought an apple watch and found out that apple watch is not compatible with my iphone 4
10890,thanks for inserting chapter in the description
10891,very well explained step by step you should be a teacher
10892,blm
10893,yes
10894,nancy pearson bro stfu with the period
10895,nope i am the learner yet teaching he wa heading for english or my favorite history i l9ve history reminder me 19th ave north by the airport can be dangerous during snow storm four died there when they got stuck read about in the fargo forum a long time ago i think you can look up the story winter of 1996 97 feb
10896,computer s phone zj have bjj john where is z how are you my friend i hope you are doing well
10897,i am just watching this to see what the apple watch is like just from the navigation style i am far happier with my purchase of the gear s3
10898,thank you excellent video now i can use and enjoy my apple watch
10899,thank you really good video now i know everything d
10900,loved this video thank you i am currently trying to decided if i should get an apple watch and this really helped make my decision a lot easier
10901,very helpful video to work your apple watch very helpful very helpful video
10902,i want an apple watch so bad
10903,take about 5 minute to learn how to use a apple watch pretty easy for anyone that know how to use a computer
10904,took me way longer a computer is easier for me haha
10905,thank you i got an apple watch for graduation now i am an expert and i have only had it for le than 72 hour thank you
10906,you are amazing i am going to buy an apple watch now
10907,there are so many feature i am glad i purchased this review helped consolidate my understanding because i had no idea at alllllllll thanks
10908,there are so many feature i am glad i purchased this review helped consolidate my understanding because i had no idea at alllllllll thanks
10909,should i get an apple watch 1st gen with airpods or just an apple watch series 2
10910,which arm is best for the apple watch a left b right
10911,hoda eliskandrani left
10912,boring
10913,just ordered my apple watch and am awaiting it arrival i am a mechanical watch guy but i need something like this in rotation great video
10914,awesome thank you
10915,how do i get my facebook notification on my watch i have messenger notification but not facebook notification and it doe say mirror with phone
10916,hi i found this listing for an apple watch would you recommend to get it here
10917,perfect tutorial
10918,i pushed my side button it did not bring up my flavorists it ha all my apps that i can flip through
10919,this is a very helpful video
10920,thank you for this video now i know how to use my apple watch
10921,really good vid bud cheer
10922,is n00b xd
10923,is it ok do download 1 game in my series 1 watch and what kind of sd card is right for the apple watch series 1
10924,very informative video
10925,thank you very much
10926,great video just purchased on saturday this is good information for this newbie
10927,i want a apple watch can you mabe give me one
10928,also need to install my whatsapp on my watch
10929,i need to use persian language on my apple watch how
10930,just bought one today series 2 water resistant one i love it
10931,great video thank you so much at first when i open the watch box i wa a little confused on how to use this apple watch but after watching your tutorial it very helpful thanks again
10932,that ad wa so smooth tbh
10933,why wa it censored when he showed his heartrate
10934,who wa going to watch whole vid but didnt after they noticed it 50 min
10935,i will watch this on september 15th 2017 my birthday a i will likely be getting one then or at least 1 5 day after september 15th 2017 thumb up and subscribed
10936,especially a it ha the time of the different chapter lisa cowins i will be commenting what you just have
10937,love this great help with using my apple watch had no idea about the ared alert notification and at a glance
10938,im saving my money to get one
10939,easy peezy thanks
10940,how do i get that calendar app on my apple watch i can not find it
10941,doe the charger come with the apple watch or do you have to buy it
10942,do u have to connect the iwatch all the time to ur phone to use
10943,great video very helpful
10944,hand off that made me smie
10945,do you need to have a phone for this apple watch
10946,very informative thanks
10947,this is so awesome thank you so much for sharing i just got an apple watch from work so this is supper helpful for beginner like me
10948,cool
10949,billyjoeplayz vlogs me too
10950,can you pair it with an ipad
10951,this video wa really helpful because i am going to get one soon thank you and sub to him
10952,is this for the i watch series one stuff a little different for me a in the video show but i just got the series ine
10953,one
10954,getting this in my birthday and a iphone 7
10955,is this watch series 1
10956,thanks i needed this bc i am getting one for my birthday exactly in a month
10957,thank you this wa a mega help
10958,thanks for the apple watch tutorial
10959,i just got mine 2017 series 1 3 27 17 alot cheaper now if someone call me how do i pick up phone call from the watch i know how to make call
10960,i have only had the apple watch series 2 since feb and i am very plea with it the apple clerk explained it very well and i find it very easy to use the apps the only thing is that i have to charge it everyday and wondering if it is normal
10961,piease this languid espanis
10962,very useful
10963,i bought the watch yesterday i figured all this stuff by using my watch all day today lol
10964,great video easy to follow thanks
10965,i do not have the friend option or the glance option on my watch
10966,should explain each icon clearly ha the habit of saying like many actually
10967,you are amazing great teacher
10968,doe it track step
10969,help me to decide what size to get
10970,great demonstration unless i missed it what function do i use to set the time
10971,he is on the east coast u
10972,thank you so much for your brief explanation
10973,fantastic guide get my iwatch tomorrow and feel confident to start using it like a pro immediately great job
10974,i just got an apple watch for some reason not all my apps went to my watch i have an app called poshmark when i look on my phone under apple watch it show under mirror iphone alers but wont display on my apple watch and i want that app on my applewatch is it possible to do thanks
10975,i am gon na get the apple watch on april 16 so excited
10976,do i have to keep my phone nearby for the watch to perform
10977,you are awesome i learned a lot by your video
10978,can you play game
10979,this is too long
10980,after stalking this video for about a week i purchased an apple watch today so far i am happy with my purchase
10981,can you only text and call people who have iphones or is it anyone in your contact
10982,do you have a tutorial for series 2 and can fb be added to apple watch
10983,uu
10984,very good are the instruction available in book form
10985,great video very thorough and easy to navigate
10986,after watching this video for the fitness i am more frustrated than before swiping up on my clock doe not allow me to access the fitness tracker and goodness know how yuo personalise it grrrrr
10987,your video really helped me decide to buy the apple watch i watched your video in full and now that i have my watch i have gone back and used the chapter to customize my apple watch thanks so much for making this video
10988,happy new year appfind how are you i hope all is well i have some great news to share with you i wa at an event today saturday february 18 2017 called breakthrough wealth summit in my area and guess what they had giveaway and guess what else i won an apple watch so i ran across your video to learn how to use the apple watch and i am so glad that i did so i am a beginner and i hope i become a good a you in using the apple watch at some point lol question so i am going to need a iphone along with the apple watch too another question where should i purchase a charger to charge the apple watch a well thank you for the tip on how to use the apple watch and i am looking to hearing from you soon thank you and god blessed note i am going to share your video let is connect on facebook how can we connect on facebook a well again thank you and god blessed
10989,the apple watch will help you find your phone will the phone help you find your watch
10990,thank you i am feeling much more comfortable with the bell whistle of my apple watch great informative video
10991,on your aaaaaaaaaaaaapleeeeeeeeeeeeeeee watch would who the hell need this shit for a fortune more probelm in life i wonder how much problem will be with security functionality or other shit fashion rubbish useless stuff u can spend ur money again if u have too much money send it to me jessus
10992,great tutorial
10993,i am getting one this week
10994,i am confused somethings you showing your video i can not do on my watch and make check the update and it up to date
10995,good
10996,if you delete an app from the iphone doe it stay on the apple watch
10997,thanks for the tip
10998,can you use an ipad to connect
10999,great video you explain stuff very well everything i wanted to know thank you so much
11000,why are people so scared to reveal their location city wise literally make no sense
11001,thank you this information is so useful now i am going to switch fitbits alta into apple watch so much more feature i like it so much more
11002,very accurate good video
11003,good lucking out
11004,can we use siri without wifi
11005,would anyone recommend a screen protector or would it just get in the way please let me know
11006,madeline tabor my friend ha a screen protector on theirs but they said that they rarely ever hit there watch on a day to day basis
11007,whoa that iphone pinging is awesome
11008,his voice reminds me of biehind the meme guy
11009,this is s1
11010,applaud you for putting in all this work great job
11011,brilliantly done i feel like a pro now on apple watch
11012,how many fucking time u say the apple watch lol it is distracting me
11013,thanks for this have not got my watch yet but this ha definatly helped loved the apps you shared too shame i am in the uk i do not think they will work here
11014,getting one on thursday so excited
11015,kaylastraight two year later but i am getting mine on thursday too
11016,thank you
11017,subscribing now
11018,great video a lot of excellent tip for newbie 24 36 why secretive about the location lol it will not give the exact location
11019,my iphone 5 did not work with the fitness and activity apps
11020,olivia ha to be 5
11021,how to take photo
11022,fuad gafarov u can not there is no camera
11023,can u take pic with it an video
11024,can you use a ipod what if you do not have a iphone
11025,katelyn schaefer nope only an iphone i think ha to be iphone 5 or up
11026,were did you get the watch
11027,i am vegan i do not buy milk how about a any brand soy milk next time
11028,this video helped me so much thank you
11029,awsome video
11030,if u say apple watch one more time
11031,get over it it is a demo on the apple watch he is great great diction rate of delivery pause to let you digest what he ha said
11032,great vid thanks a lot
11033,i can not access apple store from my apple watch even though the icon appears on the watch can anyone help i keep getting the same message apple store momentarily unavailable
11034,great video thanks
11035,when i click the side button it take me to the dock and i checked the app and it dosent even show a friend app i tried to get it in the watch app store but it wa not there
11036,25 02
11037,do i need an iphone to use this watch
11038,tonis67gr there is no other way to pair it
11039,tonis67gr yea
11040,what is this guy name please someone tell me
11041,i would like to thank you i am dyslexic and you have helped me out a lot am still a little confused about the workout bit but am sure when i watch this a few time it will sink in x
11042,swatch on the way can not wait
11043,thank you for your time in making this video very helpful tip
11044,this sound like tmartn make a 2nd channel undercover lol
11045,i had in the past cheap 50 dollar smart watch but this my first timer iwatch
11046,wow a watch like that can do every thing i hope they make an watch where you can be on face book mark the owner
11047,yea this is going to be my first time having an iwatch lol i have an iphone 7 plus
11048,is ipod touch 6th generation is compatible with apple watch series 2
11049,gamerdude828yt gaming depends if you have the apple watch app installed
11050,how do u add your fav contact to watch
11051,good instruction but the continual mention of apple watch wa really annoying we know it is an apple watch do not need a reminder every few second
11052,which model is this or do they all do the same thing
11053,i do not have any glance option
11054,this is such an amazing and helpful video i bought my iwatch yesterday and wa clueless on how to use it until i found your video now i feel like a pro lol thank you thank you
11055,i can not seem to find how to get to the screen on chapter 17 the friend category how do i do it
11056,i have a question when you are pairing your apple watch to your phone and it asks to put your id password is it the same password a your icloud id
11057,the series 1 i heard are the same thing
11058,excellent tutorial very informative excellent presentation
11059,very useful
11060,can anyone help i have a iphone 5 se and the softwars is updated but i can not find the apple watch app anywhere on my phone i have checked in every way possible is it possible it wa deleted is there a way to get it back on there help please
11061,michelle pointer it is called watch just search it on the task bar thing
11062,how do i get the same weather app he ha to show up on the watch screen which app is he using i like that you see the temperature and the party cloudy sky or whatever
11063,great video waited for the section on adding my workout music directly to the watch locally is that in another video
11064,i wa watching this and i wa like i wonder how there gon na fit this into 5 or 10 minute then i click on it and it say 52 minute i wa like nevermind
11065,same
11066,too bad your loss if you actually watched the 1st minute he explains how the chapter on subject matter is listed below so you can go straight to that topic pretty easy
11067,hvdvd meme contactually
11068,fullout gamer same xd
11069,i do not see friend option when i open iwatch app using my iphone this is a new watch
11070,how far is the bluetooth
11071,jw dime i have one and i have a big house i do not have problem bcause it also work on wifi but i never had problem and you always have your phone in your pocket
11072,1 730 531 view and it one hour long dude just get the thing already jk this is a great video thx
11073,wow thank you for such an amazing and informative video on the apple watch it is 12 28 2016 right now and i ordered my series 2 watch two day ago 12 26 2016 it will be shipped to my house on 1 6 2017 i just got an email earlier today letting me know that now i will know how to use it a it will be my first time ever using an apple watch i watched every second of this video and appreciate the help
11074,solarscorpion 31 someone is excited putting shipping time lol have a good time with it i got an iphone 7 and series 2 doe so well with phone good piece of equipment
11075,awesome video thanks alot
11076,fantastic video thanks
11077,thank you for sharing i got a apple watch for christmas and this ha been so informative i had no clue
11078,great vedio any advise to use apple watch in dusty area
11079,thank you
11080,is this a 42 mm or 38 mm apple watch used in the video
11081,robert ranweiler look like 42mm
11082,awesome video thank you for all the hard work you put into this
11083,scott swedorski j
11084,this is very helpful thanks
11085,which apple watch version is this video made for i am noticing several thing that are not the same with my series 1 42 mm
11086,i do not see glance on my iphone
11087,maxine schmidt their wa a new watch update watchos3
11088,maxine schmidt same
11089,great video
11090,nice thanks for the orientation
11091,what happens when i turn on the airplane mode on my apple watch
11092,ki
11093,is this series 1 or 2
11094,jo k original it wa recorded a year ago so before the series 1 amp 2 came out this is why it a little different from the newer model
11095,do we have to pay for the masseges
11096,jo k go thru your phone
11097,glance is not on the series two is it
11098,glance is gone i guess can not find it on my new series 2 watch
11099,maybe point to icon with a pencil before tapping it so we can see what it look like on our watch
11100,brought watch for myself a a christmas present had geek squad setup amp explain but of course i forgot everything once i left the store you explained nice amp clear and even showed me more than they did so glad i found this video and glad the in store install wa free
11101,this is for series 1 series 2 setting are just a tiny bit different in some way this is a great video though
11102,good
11103,is this the series 1 watch or series 2 thanks great video
11104,how can add whatapp
11105,this is so organized great video
11106,dude i really want a apple watch can you please send me one i have been waiting my hole life for it and my family can not afford it
11107,this wa useful it helped me know what an apple watch doe and made me decide to get one keep up the good work
11108,thank you
11109,excellent video i can not wait for my apple watch 2 to arrive
11110,you sound like the guy from behind the meme
11111,make me feel way better about my purchase lol
11112,do you have to be connected to wifi at all time to send message
11113,girly gamer
11114,jennifer garcia no
11115,actually yes i do i looked it up and there wa one on amazon for dollar56 77 so boom
11116,how much is one i have dollar90 do i have enough
11117,please sub to me tell me if you do
11118,holli boyd ok i had dollar90 but i saved up because it is christmas and now i have dollar273 is that enough
11119,might need a bit more though they are cheaper on amazon not that cheap
11120,mia knight no i do not have to say this again but they are cheap on amazon
11121,dollar369
11122,i am getting a apple watch soon this are all great thing to know
11123,thx very helpful
11124,you sir have earned your subscribe click
11125,great video thanks
11126,can you call someone or receive call on your apple watch if they do not have an iphone like can android us call your watch without them having a iphone or do they need to use wifi calling also can they send sm without them using imessage thanks
11127,like or reply if your watching without a apple watch i am lol
11128,yep
11129,looking into getting an apple watch
11130,jest released smart watch no touching just motion
11131,my apple watch series 6 is ordered just waiting on it arriving
11132,same
11133,his exciting voice make me cringe
11134,learned so munch from your video i watched it before i got my watch and helped so much in buying it thank you for making it easy to use my watch
11135,you sound like i dubbzz
11136,how come you do not get facebook app on the watch
11137,can you make a new beginner guide for the apple watch 2
11138,question doe the bluetooth have a radius
11139,this is a great guide for the apple watch thanks appfind
11140,finally getting an apple watch starting with the version 2 nike thanks for the video brother well done and it certainly make me glad for my purchase now just have to wait until it come in d
11141,seriously 2 sponsor in one video and it is the same thing it is like it is a tv show it is got two commercial
11142,4 47
11143,how did you get your gmail app on your watch i am not seeing that app option on my iwatch series 2 thank you
11144,who is watching in 2016
11145,sorry m9 i am watching in 1904 so is everyone else
11146,really helpful
11147,which apple watch is this series one or two
11148,doe it matter which apple watch you get for series 1 for example there is the sport one can i do all of the thing on the sport like he did
11149,julius 0000
11150,hannah elizabeth everyone can make mistake
11151,hannah elizabeth the sport ha lower quality material
11152,can a apple watch work without an iphone completely
11153,jackray nope
11154,i ha a apple watch series 2 42mm
11155,awesome video and very detailed thanks a bunch
11156,can we use the watch without the phone
11157,game daddy it can not be too far from u it is like bluetooth
11158,will your phone still ping from the watch if your phone is on silent or do not disturb like will it still make that sound if your phone is on silent
11159,eeweeeeeeeeeee
11160,hi klass kickshawaii yes it doe i recently got the series 2 and it doe
11161,jay hag yes it will i looked it up if you actually press and hold it your phone will ping and flash your cell phone camera light so you can find it in the dark
11162,jay hag right thats what i want to know
11163,i guess i missed it what series is this and what size
11164,there is a difference between original apple watch series 1 and series 2
11165,patricia burn
11166,both 1 and 2 series have two different size of screen
11167,juan pablo but it is silver you idiot
11168,hi klass kickshawaii it the 42 mm space gray searis 1
11169,thanks this is very and extremely helpful keep up the good work
11170,helpful i like it
11171,great video thx so much dude
11172,apple watch series 1 or 2
11173,please do one for the apple watch series 2
11174,thank you i just purchased series 2 apple iwatch this video is a very good tutorial i have learned a lot from it please make a video for series 2
11175,you never mentioned how to use the camera
11176,how do you connect it when the io ha not even been realesed
11177,amazing video thank you so much
11178,is this series 1 or same a apple watch sport 42mm smartwatch 2015 space gray aluminum case black sport band
11179,ken cruise jr no look like the standard
11180,very helpful thank you
11181,thanks for your time
11182,is there a way to re name the workout on apple watch after saving it
11183,do you need wifi to send message
11184,you forgot to mention the camera smh
11185,surff quantum it just view your phone camera
11186,im going to be buying the apple watch series 1 in order to call do i have to connect my phone a well also if i try to call someone do i have to have my phone on hand example if i left my phone at home and i have my watch on my wrist am i still able to use the watch to call please reply soon
11187,sarfelly ha no
11188,can u put on ur own picture for the screen
11189,hoji dastjerdi yes you can go on customize your apple watch and go to the back
11190,very helpful thank you for taking the time to put this together
11191,my family wa impressed
11192,greatvideo
11193,this is series one right
11194,no this is the original apple watch released in april of 2015 which is when the vid is posted the series 1 and 2 apple watch wa released this year just recently
11195,benwoof yes
11196,can you reply to your apple watch to text message and imessages
11197,nice
11198,now thats how the apple watch charge wene i saw it in other vid i do not have one yet but now i understand how to cjarge it thank you
11199,well not cheat
11200,is there a youtube in there i want to take it to school to cheat at test and wach video at boring class
11201,sorry for ruining 666 comment m
11202,hello aleric
11203,can you leave your phone home and go somewhere else wil it work
11204,fack meh
11205,billy bob no it ha to be close range
11206,bless him for this video should be titled apple watch for dummy not calling y all dummy i am calling myself one lol great video
11207,yjjhi
11208,i am dumb i am happy
11209,actional xylope gydyhf
11210,seriously thought lmao
11211,glambygee ahaha
11212,if you do not have wifi can you still set it up
11213,the screen is black i change the sitting and the result is black screen what should i do
11214,is it possible for you to not talk like an infomercial host
11215,this is for the series one watch if you look at the date this video wa made
11216,thank you very informative
11217,i am getting mine in the mail tomorrow this wa helpful
11218,ik heb geen iphone kan ik toch de apple watch 3 gebruiken wie kan mij nu eens eindelijk een antwoord geven
11219,august ludwig tjon kwan paw nee je moet een iphone
